state_num,pew_bornagain,commonweight,state,state_name,population_total,year
48,2,2.83910065108559,TX,TEXAS,30029572,2022
37,2,0.628374761778804,NC,NORTH CAROLINA,10698973,2022
04,2,0.458739766604082,AZ,ARIZONA,7359197,2022
42,2,0.815922335376847,PA,PENNSYLVANIA,12972008,2022
34,2,0.862842156346243,NJ,NEW JERSEY,9261699,2022
53,1,0.22167386677325,WA,WASHINGTON,7785786,2022
09,1,2.45845413629046,CT,CONNECTICUT,3626205,2022
48,2,0.162245905053141,TX,TEXAS,30029572,2022
42,2,0.66736700628458,PA,PENNSYLVANIA,12972008,2022
04,2,1.13507893491804,AZ,ARIZONA,7359197,2022
39,2,1.94975297848169,OH,OHIO,11756058,2022
27,2,0.266490678277987,MN,MINNESOTA,5717184,2022
53,2,0.421529331510251,WA,WASHINGTON,7785786,2022
48,2,5.37523962256283,TX,TEXAS,30029572,2022
12,1,1.19226877563015,FL,FLORIDA,22244823,2022
18,2,0.51982843826511,IN,INDIANA,6833037,2022
45,2,0.22489691018504,SC,SOUTH CAROLINA,5282634,2022
48,1,3.10999323749548,TX,TEXAS,30029572,2022
37,2,1.70836345694822,NC,NORTH CAROLINA,10698973,2022
01,2,0.186588469195625,AL,ALABAMA,5074296,2022
29,1,0.0485429805905627,MO,MISSOURI,6177957,2022
51,1,0.307684509280542,VA,VIRGINIA,8683619,2022
47,2,2.88543961602148,TN,TENNESSEE,7051339,2022
09,2,1.45464407680971,CT,CONNECTICUT,3626205,2022
42,2,0.733932760561968,PA,PENNSYLVANIA,12972008,2022
27,2,0.219689996173196,MN,MINNESOTA,5717184,2022
06,2,3.0811454701405,CA,CALIFORNIA,39029342,2022
01,2,0.31134062237516,AL,ALABAMA,5074296,2022
27,2,1.64134953734385,MN,MINNESOTA,5717184,2022
36,1,1.48420904149223,NY,NEW YORK,19677151,2022
34,1,3.74948357491588,NJ,NEW JERSEY,9261699,2022
04,1,2.15118566675244,AZ,ARIZONA,7359197,2022
40,2,0.0863995653889549,OK,OKLAHOMA,4019800,2022
17,2,0.575221758836205,IL,ILLINOIS,12582032,2022
48,1,3.49208088872823,TX,TEXAS,30029572,2022
48,1,0.129587559970326,TX,TEXAS,30029572,2022
10,1,0.426334108389094,DE,DELAWARE,1018396,2022
42,1,2.81759815449832,PA,PENNSYLVANIA,12972008,2022
01,2,1.20121206841969,AL,ALABAMA,5074296,2022
32,2,0.359448581291412,NV,NEVADA,3177772,2022
10,2,0.496354082597924,DE,DELAWARE,1018396,2022
28,1,0.6350604948691,MS,MISSISSIPPI,2940057,2022
