state_name,year,ID
MISSISSIPPI,2005,924
MISSOURI,2005,925
MONTANA,2005,926
NEBRASKA,2005,927
NEVADA,2005,928
NEW HAMPSHIRE,2005,929
NEW JERSEY,2005,930
NEW MEXICO,2005,931
NEW YORK,2005,932
NORTH CAROLINA,2005,933
NORTH DAKOTA,2005,934
OHIO,2005,935
OKLAHOMA,2005,936
OREGON,2005,937
PENNSYLVANIA,2005,938
RHODE ISLAND,2005,939
SOUTH CAROLINA,2005,940
SOUTH DAKOTA,2005,941
TENNESSEE,2005,942
TEXAS,2005,943
UTAH,2005,944
VERMONT,2005,945
VIRGINIA,2005,946
WASHINGTON,2005,947
WEST VIRGINIA,2005,948
WISCONSIN,2005,949
WYOMING,2005,950
ALABAMA,2006,951
ALASKA,2006,952
ARIZONA,2006,953
ARKANSAS,2006,954
CALIFORNIA,2006,955
COLORADO,2006,956
CONNECTICUT,2006,957
DELAWARE,2006,958
FLORIDA,2006,959
GEORGIA,2006,960
HAWAII,2006,961
IDAHO,2006,962
ILLINOIS,2006,963
INDIANA,2006,964
IOWA,2006,965
KANSAS,2006,966
KENTUCKY,2006,967
LOUISIANA,2006,968
MAINE,2006,969
MARYLAND,2006,970
MASSACHUSETTS,2006,971
MICHIGAN,2006,972
MINNESOTA,2006,973
MISSISSIPPI,2006,974
MISSOURI,2006,975
MONTANA,2006,976
NEBRASKA,2006,977
NEVADA,2006,978
NEW HAMPSHIRE,2006,979
NEW JERSEY,2006,980
NEW MEXICO,2006,981
NEW YORK,2006,982
NORTH CAROLINA,2006,983
NORTH DAKOTA,2006,984
OHIO,2006,985
OKLAHOMA,2006,986
OREGON,2006,987
PENNSYLVANIA,2006,988
RHODE ISLAND,2006,989
SOUTH CAROLINA,2006,990
SOUTH DAKOTA,2006,991
TENNESSEE,2006,992
TEXAS,2006,993
UTAH,2006,994
VERMONT,2006,995
VIRGINIA,2006,996
WASHINGTON,2006,997
WEST VIRGINIA,2006,998
WISCONSIN,2006,999
WYOMING,2006,1000
ALABAMA,2007,1001
ALASKA,2007,1002
ARIZONA,2007,1003
ARKANSAS,2007,1004
CALIFORNIA,2007,1005
COLORADO,2007,1006
CONNECTICUT,2007,1007
DELAWARE,2007,1008
FLORIDA,2007,1009
GEORGIA,2007,1010
HAWAII,2007,1011
IDAHO,2007,1012
ILLINOIS,2007,1013
INDIANA,2007,1014
IOWA,2007,1015
KANSAS,2007,1016
KENTUCKY,2007,1017
LOUISIANA,2007,1018
MAINE,2007,1019
MARYLAND,2007,1020
MASSACHUSETTS,2007,1021
MICHIGAN,2007,1022
MINNESOTA,2007,1023
MISSISSIPPI,2007,1024
MISSOURI,2007,1025
MONTANA,2007,1026
NEBRASKA,2007,1027
NEVADA,2007,1028
NEW HAMPSHIRE,2007,1029
NEW JERSEY,2007,1030
NEW MEXICO,2007,1031
NEW YORK,2007,1032
NORTH CAROLINA,2007,1033
NORTH DAKOTA,2007,1034
OHIO,2007,1035
OKLAHOMA,2007,1036
OREGON,2007,1037
PENNSYLVANIA,2007,1038
RHODE ISLAND,2007,1039
SOUTH CAROLINA,2007,1040
SOUTH DAKOTA,2007,1041
TENNESSEE,2007,1042
TEXAS,2007,1043
