state,state_name,incomepcap,year
IN,INDIANA,57930,2022
IA,IOWA,58905,2022
KS,KANSAS,60152,2022
KY,KENTUCKY,52109,2022
LA,LOUISIANA,54622,2022
ME,MAINE,59463,2022
MD,MARYLAND,70730,2022
MA,MASSACHUSETTS,84945,2022
MI,MICHIGAN,56813,2022
MN,MINNESOTA,68010,2022
MS,MISSISSIPPI,46248,2022
MO,MISSOURI,56551,2022
MT,MONTANA,57719,2022
NE,NEBRASKA,63321,2022
NV,NEVADA,61282,2022
NH,NEW HAMPSHIRE,74663,2022
NJ,NEW JERSEY,78700,2022
NM,NEW MEXICO,51500,2022
NY,NEW YORK,78089,2022
NC,NORTH CAROLINA,57416,2022
ND,NORTH DAKOTA,66184,2022
OH,OHIO,57880,2022
OK,OKLAHOMA,54998,2022
OR,OREGON,62767,2022
PA,PENNSYLVANIA,65167,2022
RI,RHODE ISLAND,65377,2022
SC,SOUTH CAROLINA,53320,2022
SD,SOUTH DAKOTA,65806,2022
TN,TENNESSEE,58279,2022
TX,TEXAS,61985,2022
UT,UTAH,57925,2022
VT,VERMONT,63206,2022
VA,VIRGINIA,68211,2022
WA,WASHINGTON,75698,2022
WV,WEST VIRGINIA,49169,2022
WI,WISCONSIN,61210,2022
WY,WYOMING,71342,2022
