state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
TEXAS,20702709,10883279,3362283,14031643,2016,TX,27914410,0.120449724712075,0.741649527967813,0.389880316295419,0.502666651381849,0.497333348618151
UTAH,2633283,420440,32800,1513072,2016,UT,3041868,0.0107828479079303,0.865679575839583,0.138217700439335,0.497415403955727,0.502584596044273
VERMONT,589379,12546,7893,316720,2016,VT,623657,0.0126559952024911,0.945037095711264,0.0201168270379391,0.5078432535833,0.4921567464167
VIRGINIA,5707035,760611,1601868,4276323,2016,VA,8410106,0.190469418578077,0.678592517145444,0.0904401204931305,0.508474328385397,0.491525671614603
WASHINGTON,5516602,906451,266977,3648274,2016,WA,7294771,0.0365984072700843,0.756240600287521,0.12426037774181,0.500121799573969,0.499878200426031
WEST VIRGINIA,1704195,26783,69721,930189,2016,WV,1831023,0.0380776210894129,0.9307338029069,0.0146273422015999,0.508016010721875,0.491983989278125
WISCONSIN,4941688,387015,361653,2905788,2016,WI,5772628,0.0626496285573919,0.856055162397438,0.0670431214344662,0.50337350683259,0.49662649316741
WYOMING,538819,56264,5970,287296,2016,WY,584215,0.0102188406665354,0.922295730167832,0.0963070102616331,0.491764162166326,0.508235837833674
ALABAMA,3312718,201970,1307467,2514851,2017,AL,4874486,0.268226639690831,0.679603552046308,0.0414341122325513,0.515921268416814,0.484078731583186
ALASKA,474856,51712,22107,354019,2017,AK,739700,0.0298864404488306,0.641957550358253,0.0699094227389482,0.478598080302826,0.521401919697175
ARIZONA,5442417,2202173,307655,3528548,2017,AZ,7044008,0.0436761287039992,0.772630723871977,0.312630678443295,0.500929016548533,0.499070983451467
ARKANSAS,2293307,223764,458367,1524597,2017,AR,3001345,0.152720530295584,0.764093098260946,0.07455457469901,0.507971259551968,0.492028740448033
CALIFORNIA,23181769,15477306,2271917,19886602,2017,CA,39358497,0.057723672730694,0.588990199498726,0.393239254029441,0.505268328716922,0.494731671283078
COLORADO,4720495,1206724,229436,2786985,2017,CO,5611885,0.0408839454122813,0.841160323135631,0.215030065655301,0.496621901553578,0.503378098446422
CONNECTICUT,2723013,578833,380578,1837537,2017,CT,3573297,0.106506120258126,0.762044968554251,0.161988494099427,0.514241329506056,0.485758670493944
DELAWARE,662084,89540,210356,496429,2017,DE,956823,0.2198483941126,0.691960791076301,0.0935805263878481,0.518830546506512,0.481169453493488
FLORIDA,15768315,5370860,3394508,10730133,2017,FL,20963613,0.161923805786722,0.752175448001258,0.256199158036356,0.511845596462785,0.488154403537215
GEORGIA,6122956,1001472,3292061,5358658,2017,GA,10410330,0.316230225170576,0.588161566444099,0.0961998322819738,0.514744297250904,0.485255702749096
HAWAII,357113,150125,23386,711188,2017,HI,1424393,0.0164182216565232,0.250712408724278,0.105395772093797,0.499291979109698,0.500708020890302
IDAHO,1546011,213619,11347,854223,2017,ID,1717715,0.00660586884320158,0.900039296390845,0.124362306901902,0.497301938913033,0.502698061086967
ILLINOIS,9119912,2206927,1818986,6507123,2017,IL,12778828,0.142343726670396,0.713673585715372,0.172701831498162,0.509211251610868,0.490788748389132
INDIANA,5577897,461618,623961,3380666,2017,IN,6658078,0.093714882883619,0.837763841156562,0.0693320204419354,0.507754039529125,0.492245960470875
IOWA,2831066,185746,107076,1583446,2017,IA,3141550,0.0340838121309545,0.901168531457402,0.0591255908707485,0.504033359328994,0.495966640671006
KANSAS,2462215,345510,167207,1460550,2017,KS,2908718,0.0574847750796055,0.846494916317085,0.118784289161067,0.502128429088004,0.497871570911996
KENTUCKY,3872670,155163,361637,2259339,2017,KY,4452268,0.0812253440269094,0.869819606546596,0.0348503279676785,0.507457996688429,0.492542003311571
LOUISIANA,2890818,243620,1521339,2394638,2017,LA,4670560,0.325729462848138,0.618944623342811,0.052160768730088,0.512708968517694,0.487291031482306
MAINE,1261611,21899,16372,681144,2017,ME,1334612,0.0122672357209436,0.945301705664268,0.0164085142348488,0.510368556554265,0.489631443445736
MARYLAND,3322483,612709,1806673,3116355,2017,MD,6023868,0.299919088532484,0.551553088480691,0.101713550164114,0.517334543187201,0.482665456812799
MASSACHUSETTS,5387411,811292,531887,3526549,2017,MA,6859789,0.0775369329872974,0.785361036614975,0.118267777624064,0.514090010640269,0.485909989359731
MICHIGAN,7814775,504398,1374615,5055069,2017,MI,9973114,0.137832075317699,0.783584244600032,0.0505757780368298,0.506869669794209,0.493130330205791
MINNESOTA,4610465,296666,361130,2795892,2017,MN,5566230,0.0648787419851497,0.82829221932978,0.0532974742330087,0.502295449523286,0.497704550476714
