state,state_name,year,percent_black,percent_female,percent_hs,percent_college
NV,NEVADA,1987,10.5504587155963,53.8990825688074,32.7981651376147,
NV,NEVADA,1988,11.8712273641851,49.2957746478873,30.784708249497,
NV,NEVADA,1989,3.34261838440111,49.8607242339833,38.7186629526462,
NV,NEVADA,1990,6.34057971014493,50.9057971014493,33.695652173913,
NV,NEVADA,1991,5.76923076923077,51.5384615384615,30.7692307692308,
NV,NEVADA,1992,6.0077519379845,51.3565891472868,61.6279069767442,17.8294573643411
NV,NEVADA,1993,3.82978723404255,48.2978723404255,64.8936170212766,17.8723404255319
NV,NEVADA,1994,6.31808278867102,49.8910675381264,63.6165577342048,16.557734204793
NV,NEVADA,1996,3.54767184035477,49.2239467849224,66.2971175166297,21.5077605321508
NV,NEVADA,1997,7.76515151515152,51.8939393939394,68.1818181818182,19.1287878787879
NV,NEVADA,1998,3.26923076923077,50.1923076923077,65.7692307692308,20.1923076923077
NV,NEVADA,1999,5.89970501474926,51.6224188790561,58.5545722713864,18.141592920354
NV,NEVADA,2000,3.97111913357401,50,64.0794223826715,18.5920577617329
NV,NEVADA,2001,5.92216582064298,54.1455160744501,58.0372250423012,18.4433164128596
NV,NEVADA,2002,6.9967707212056,49.8385360602799,62.43272335845,18.5145317545748
NV,NEVADA,2003,4.83437779767234,51.4771709937332,64.1002685765443,20.9489704565801
NV,NEVADA,2004,7.66129032258065,49.7311827956989,64.9193548387097,24.7311827956989
NV,NEVADA,2005,5.82089552238806,51.044776119403,66.8656716417911,19.7014925373134
NV,NEVADA,2006,8.56313497822932,51.088534107402,63.1349782293179,18.577648766328
NV,NEVADA,2007,8.03324099722992,56.2326869806094,65.2354570637119,25.4847645429363
NV,NEVADA,2008,5.83333333333333,49.1666666666667,62.7777777777778,23.1944444444444
NV,NEVADA,2009,6.41791044776119,50.8955223880597,67.1641791044776,23.4328358208955
NV,NEVADA,2010,5.16759776536313,52.2346368715084,66.8994413407821,24.4413407821229
NV,NEVADA,2011,6.53789004457652,51.4115898959881,69.6879643387816,26.0029717682021
NV,NEVADA,2012,6.98689956331878,49.1994177583697,69.2867540029112,25.1819505094614
NV,NEVADA,2013,6.20384047267356,49.6307237813885,65.7311669128508,24.519940915805
NV,NEVADA,2014,10.1173020527859,49.4134897360704,69.6480938416422,26.099706744868
NV,NEVADA,2015,5.54323725055432,52.1064301552107,67.4057649667406,32.5942350332594
NV,NEVADA,2016,6.42570281124498,51.004016064257,75.3012048192771,28.3132530120482
NV,NEVADA,2017,7.28051391862955,52.03426124197,70.6638115631692,26.9807280513919
NV,NEVADA,2018,6.69291338582677,53.1496062992126,72.0472440944882,26.5748031496063
NV,NEVADA,2019,7.79896013864818,50.0866551126517,72.2703639514732,30.3292894280763
NV,NEVADA,2020,8.65874363327674,47.3684210526316,72.3259762308998,32.937181663837
NV,NEVADA,2021,7.93650793650794,49.8866213151927,74.3764172335601,33.5600907029479
NY,NEW YORK,1987,11.7117117117117,52.7027027027027,31.981981981982,
NY,NEW YORK,1988,9.58281701776126,52.6228831061545,30.6071871127633,
NY,NEW YORK,1989,11.6040955631399,53.9628365566932,32.4990519529769,
NY,NEW YORK,1990,14.7363233119763,52.3164120256284,32.5036964021686,
NY,NEW YORK,1991,12.1123321123321,52.5518925518926,31.7704517704518,
NY,NEW YORK,1992,15.0399175894927,53.6698429049704,60.2111769250579,23.2552150399176
NY,NEW YORK,1993,13.5135135135135,53.9265680775115,59.6634370219276,20.601733809281
NY,NEW YORK,1994,16.8131868131868,53.5989010989011,60.9340659340659,23.6813186813187
NY,NEW YORK,1996,14.742170199304,53.8753559000316,59.2217652641569,22.2714330907941
NY,NEW YORK,1997,17.3070607553366,52.6765188834154,58.4893267651888,22.7586206896552
NY,NEW YORK,1998,13.5735938026271,54.1933310879084,61.5695520377232,24.99157965645
NY,NEW YORK,1999,14.3051771117166,53.7465940054496,61.1035422343324,25.2724795640327
NY,NEW YORK,2000,15.2274225444957,53.7244561634806,62.3928806855636,26.6974291364535
NY,NEW YORK,2001,15.6944444444444,52.2569444444445,62.1875,26.3888888888889
NY,NEW YORK,2002,15.9123563218391,52.8735632183908,63.3979885057471,25.6824712643678
NY,NEW YORK,2003,14.8634267470734,52.7846754168145,63.7460092231288,26.9599148634268
NY,NEW YORK,2004,14.5833333333333,54.1666666666667,64.3333333333333,27.1666666666667
NY,NEW YORK,2005,12.6130004304778,51.7434352130865,64.7869134739561,27.4644855789927
NY,NEW YORK,2006,13.75,52.7777777777778,63.5185185185185,28.9351851851852
NY,NEW YORK,2007,12.7753303964758,52.6872246696035,64.0969162995595,28.8105726872247
NY,NEW YORK,2008,15.7534246575342,52.5256849315069,66.8236301369863,28.7243150684932
NY,NEW YORK,2009,14.2857142857143,52.6111350884765,68.0621493310315,30.1251618472162
NY,NEW YORK,2010,15.3708668453977,53.5299374441466,66.2198391420912,32.6184092940125
NY,NEW YORK,2011,15.2838427947598,53.056768558952,68.471615720524,32.882096069869
NY,NEW YORK,2012,15.6824782187803,53.0009680542111,69.3610842207164,34.1239109390126
NY,NEW YORK,2013,14.0588510042036,53.0593180756656,66.8846333489024,32.6482951891639
NY,NEW YORK,2014,15.9008776458441,52.3489932885906,68.6112545172948,35.2607124419205
NY,NEW YORK,2015,15.1939655172414,50.323275862069,71.3900862068966,38.4698275862069
NY,NEW YORK,2016,17.5644028103045,52.6932084309134,70.8430913348946,36.2997658079625
NY,NEW YORK,2017,14.9732620320856,53.1194295900178,73.0837789661319,39.691027926322
NY,NEW YORK,2018,15.3130812151271,52.5728456292623,71.9776813391196,39.2436453812771
NY,NEW YORK,2019,14.8520710059172,52.6627218934911,73.9644970414201,41.4201183431953
NY,NEW YORK,2020,15.6115107913669,55.2517985611511,74.5323741007194,42.0143884892086
NY,NEW YORK,2021,13.8289962825279,51.5241635687732,74.6468401486989,40.0743494423792
OH,OHIO,1987,8.27749310208908,51.5175404020497,23.2163973196689,
OH,OHIO,1988,9.36593452134273,53.7919602154994,25.6941566514712,
OH,OHIO,1989,9.96523754345307,52.2595596755504,29.123213595983,
OH,OHIO,1990,8.92641737032569,52.3120225170889,29.1113791716928,
OH,OHIO,1991,8.8468809073724,52.9300567107751,26.5406427221172,
OH,OHIO,1992,8.94956389836936,51.7254455821009,58.1342434584756,16.5718619643534
OH,OHIO,1993,9.22367409684858,51.6910069177556,62.2213681783244,18.4089162182936
OH,OHIO,1994,9.64725881852954,53.251168720782,57.9260518487038,17.3395665108372
OH,OHIO,1996,8.54326396495071,51.8072289156627,62.486308871851,18.7294633077766
OH,OHIO,1997,11.6034985422741,51.8950437317784,64.3148688046647,20.1749271137026
OH,OHIO,1998,9.08629441624365,53.2994923857868,62.0304568527919,19.746192893401
OH,OHIO,1999,10.4529616724739,53.6004645760743,64.4599303135889,23.7514518002323
OH,OHIO,2000,11.6062176165803,51.6580310880829,65.0259067357513,22.2279792746114
OH,OHIO,2001,12.5425652667423,52.0431328036322,64.4154370034052,22.4177071509648
OH,OHIO,2002,9.87720234917245,52.4826481580352,64.5488521089162,23.2247730912974
OH,OHIO,2003,13.0023640661939,52.8959810874705,64.2434988179669,24.2316784869976
OH,OHIO,2004,8.9261744966443,51.6778523489933,69.2617449664429,24.2281879194631
OH,OHIO,2005,9.22077922077922,53.961038961039,64.025974025974,20.974025974026
OH,OHIO,2006,9.56284153005464,49.7950819672131,67.6229508196721,24.0437158469945
OH,OHIO,2007,9.2496765847348,52.3932729624838,68.3699870633894,23.0271668822768
OH,OHIO,2008,8.32755031228314,51.2838306731437,67.175572519084,24.5662734212353
OH,OHIO,2009,8.42318059299192,51.010781671159,69.4743935309973,23.3153638814016
OH,OHIO,2010,10.9993714644877,51.9170333123822,63.9220615964802,22.3130106851037
OH,OHIO,2011,11.048951048951,53.2867132867133,69.9300699300699,23.7062937062937
OH,OHIO,2012,8.97718910963944,51.3612950699044,69.0213392200147,27.0051508462105
OH,OHIO,2013,8.8950660180681,52.3974982626824,69.3537178596247,27.9360667129951
OH,OHIO,2014,13.6446886446886,51.0989010989011,69.0476190476191,27.3809523809524
OH,OHIO,2015,9.56175298804781,49.800796812749,67.4103585657371,26.0557768924303
OH,OHIO,2016,11.313518696069,53.4036433365292,74.0172579098754,27.5167785234899
OH,OHIO,2017,10.4838709677419,53.1362007168459,72.4014336917563,31.8100358422939
OH,OHIO,2018,6.73952641165756,51.7304189435337,75.1366120218579,32.7868852459016
OH,OHIO,2019,7.23684210526316,53.4774436090226,71.8045112781955,32.8947368421053
OH,OHIO,2020,6.60377358490566,51.5723270440252,71.9077568134172,33.9622641509434
OH,OHIO,2021,8.74316939890711,51.5846994535519,71.5846994535519,28.0874316939891
OK,OKLAHOMA,1987,6.16438356164384,50.3424657534247,31.3356164383562,
OK,OKLAHOMA,1988,3.85852090032154,51.6077170418006,25.08038585209,
OK,OKLAHOMA,1989,5.63847429519071,53.3996683250415,29.8507462686567,
OK,OKLAHOMA,1990,5.02215657311669,50.3692762186115,31.314623338257,
OK,OKLAHOMA,1991,6.72131147540984,50.1639344262295,33.4426229508197,
OK,OKLAHOMA,1992,5.11363636363636,51.8465909090909,57.2443181818182,17.0454545454545
OK,OKLAHOMA,1993,9.25644916540212,54.6282245827011,60.0910470409712,19.2716236722307
OK,OKLAHOMA,1994,1.97044334975369,51.0673234811166,57.9638752052545,16.5845648604269
OK,OKLAHOMA,1996,7.75401069518717,52.9411764705882,60.5614973262032,19.6524064171123
OK,OKLAHOMA,1997,8.4648493543759,53.5150645624103,64.5624103299857,18.6513629842181
OK,OKLAHOMA,1998,5.94744121715076,53.5269709543569,58.091286307054,17.7040110650069
OK,OKLAHOMA,1999,6.99708454810496,54.5189504373178,66.4723032069971,24.7813411078717
OK,OKLAHOMA,2000,5.9593023255814,51.5988372093023,65.2616279069768,18.4593023255814
OK,OKLAHOMA,2001,7.92580101180438,50.2529510961214,65.9359190556492,20.2360876897133
OK,OKLAHOMA,2002,7.56756756756757,51.2162162162162,60.945945945946,18.1081081081081
OK,OKLAHOMA,2003,8.18897637795276,49.6062992125984,67.244094488189,25.1968503937008
OK,OKLAHOMA,2004,6.05381165919283,52.914798206278,66.1434977578475,22.1973094170404
OK,OKLAHOMA,2005,9.46166394779772,51.5497553017945,63.2952691680261,23.0016313213703
