state_fips,state_name,state_num,state,state_icpsr,unified,party_control,year
55,Wisconsin,49,WI,25,0,DIV,2020
56,Wyoming,50,WY,68,1,REP,2020
1,Alabama,1,AL,41,1,REP,2021
2,Alaska,2,AK,81,1,REP,2021
4,Arizona,3,AZ,61,1,REP,2021
5,Arkansas,4,AR,42,1,REP,2021
6,California,5,CA,71,1,DEM,2021
8,Colorado,6,CO,62,1,DEM,2021
9,Connecticut,7,CT,1,1,DEM,2021
10,Delaware,8,DE,11,1,DEM,2021
12,Florida,9,FL,43,1,REP,2021
13,Georgia,10,GA,44,1,REP,2021
15,Hawaii,11,HI,82,1,DEM,2021
16,Idaho,12,ID,63,1,REP,2021
17,Illinois,13,IL,21,1,DEM,2021
18,Indiana,14,IN,22,1,REP,2021
19,Iowa,15,IA,31,1,REP,2021
20,Kansas,16,KS,32,0,DIV,2021
21,Kentucky,17,KY,51,0,DIV,2021
22,Louisiana,18,LA,45,0,DIV,2021
23,Maine,19,ME,2,1,DEM,2021
24,Maryland,20,MD,52,0,DIV,2021
25,Massachusetts,21,MA,3,0,DIV,2021
26,Michigan,22,MI,23,0,DIV,2021
27,Minnesota,23,MN,33,0,DIV,2021
28,Mississippi,24,MS,46,1,REP,2021
29,Missouri,25,MO,34,1,REP,2021
30,Montana,26,MT,64,1,REP,2021
31,Nebraska,27,NE,35,NA,NA,2021
32,Nevada,28,NV,65,1,DEM,2021
33,New Hampshire,29,NH,4,1,REP,2021
34,New Jersey,30,NJ,12,1,DEM,2021
35,New Mexico,31,NM,66,1,DEM,2021
36,New York,32,NY,13,1,DEM,2021
37,North Carolina,33,NC,47,0,DIV,2021
38,North Dakota,34,ND,36,1,REP,2021
39,Ohio,35,OH,24,1,REP,2021
40,Oklahoma,36,OK,53,1,REP,2021
41,Oregon,37,OR,72,1,DEM,2021
42,Pennsylvania,38,PA,14,0,DIV,2021
44,Rhode Island,39,RI,5,1,DEM,2021
45,South Carolina,40,SC,48,1,REP,2021
46,South Dakota,41,SD,37,1,REP,2021
47,Tennessee,42,TN,54,1,REP,2021
48,Texas,43,TX,49,1,REP,2021
49,Utah,44,UT,67,1,REP,2021
50,Vermont,45,VT,6,0,DIV,2021
51,Virginia,46,VA,40,1,DEM,2021
53,Washington,47,WA,73,1,DEM,2021
54,West Virginia,48,WV,56,1,REP,2021
55,Wisconsin,49,WI,25,0,DIV,2021
56,Wyoming,50,WY,68,1,REP,2021
1,Alabama,1,AL,41,1,REP,2022
2,Alaska,2,AK,81,1,REP,2022
4,Arizona,3,AZ,61,0,DIV,2022
5,Arkansas,4,AR,42,1,REP,2022
6,California,5,CA,71,1,DEM,2022
8,Colorado,6,CO,62,1,DEM,2022
9,Connecticut,7,CT,1,1,DEM,2022
10,Delaware,8,DE,11,1,DEM,2022
12,Florida,9,FL,43,1,REP,2022
13,Georgia,10,GA,44,1,REP,2022
15,Hawaii,11,HI,82,1,DEM,2022
16,Idaho,12,ID,63,1,REP,2022
17,Illinois,13,IL,21,1,DEM,2022
18,Indiana,14,IN,22,1,REP,2022
19,Iowa,15,IA,31,1,REP,2022
20,Kansas,16,KS,32,0,DIV,2022
