state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,std_init_use,evangelical_pop
GA,Georgia,1990,0,Anti-bullying,"",2022,6478216,-1.3641,17563,-0.672155916690826,0.32836377620697,1,-0.453598409891129,41.5
HI,Hawaii,1990,0,Anti-bullying,"",2022,1108229,1.60079,21818,0.0774659290909767,0.520504951477051,1,-0.453598409891129,9.8000002
ID,Idaho,1990,0,Anti-bullying,"",2022,1006749,-0.605316,15603,-0.726515412330627,-0.606701374053955,0,-0.453598409891129,35.799999
IL,Illinois,1990,0,Anti-bullying,P,2010,11430602,0.34978,20835,0.687875866889954,0.412000596523285,0,-0.453598409891129,14
IN,Indiana,1990,0,Anti-bullying,"",2022,5544159,-0.25079,17454,-0.398583263158798,0.273144543170929,0,-0.453598409891129,19.4
IA,Iowa,1990,0,Anti-bullying,P,2007,2776755,0.868581,17350,-0.173581093549728,-0.41385942697525,0,-0.453598409891129,11.9
KS,Kansas,1990,0,Anti-bullying,"",2022,2477574,-0.418935,18034,-0.558415234088898,-0.548539340496063,1,-0.453598409891129,18.1
KY,Kentucky,1990,0,Anti-bullying,"",2022,3685296,-0.579765,15360,-0.7462557554245,0.434082478284836,1,-0.453598409891129,39.799999
LA,Louisiana,1990,0,Anti-bullying,"",2022,4219973,-0.825322,15171,-0.147917747497559,-0.102811187505722,1,-0.453598409891129,31.700001
ME,Maine,1990,0,Anti-bullying,P,2012,1227928,0.701323,17211,-0.466270834207535,-0.491288542747498,0,0.87591415643692,3.3
MD,Maryland,1990,0,Anti-bullying,P,2008,4781468,0.786914,22681,0.0305464100092649,-0.0187342781573534,1,-0.453598409891129,13.4
MA,Massachusetts,1990,0,Anti-bullying,P,2014,6016425,1.57907,22797,2.27185344696045,-4.25225830078125,1,1.3190850019455,3.3
MI,Michigan,1990,0,Anti-bullying,"",2022,9295297,0.922356,18719,2.96801710128784,-2.69883728027344,0,-0.453598409891129,14.5
MN,Minnesota,1990,0,Anti-bullying,P,2014,4375099,0.903348,19710,0.235693573951721,0.152786508202553,1,-0.453598409891129,12.1
