state_name,year,population_total
COLORADO,1995,3747000
CONNECTICUT,1995,3275000
DELAWARE,1995,717000
FLORIDA,1995,14166000
GEORGIA,1995,7201000
HAWAII,1995,1187000
IDAHO,1995,1163000
ILLINOIS,1995,11830000
INDIANA,1995,5803000
IOWA,1995,2842000
KANSAS,1995,2565000
KENTUCKY,1995,3860000
LOUISIANA,1995,4342000
MAINE,1995,1241000
MARYLAND,1995,5042000
MASSACHUSETTS,1995,6074000
MICHIGAN,1995,9549000
MINNESOTA,1995,4610000
MISSISSIPPI,1995,2697000
MISSOURI,1995,5324000
MONTANA,1995,870000
NEBRASKA,1995,1637000
NEVADA,1995,1530000
NEW HAMPSHIRE,1995,1148000
NEW JERSEY,1995,7945000
NEW MEXICO,1995,1685000
NEW YORK,1995,18136000
NORTH CAROLINA,1995,7195000
NORTH DAKOTA,1995,641000
OHIO,1995,11151000
OKLAHOMA,1995,3278000
OREGON,1995,3141000
PENNSYLVANIA,1995,12072000
RHODE ISLAND,1995,990000
SOUTH CAROLINA,1995,3673000
SOUTH DAKOTA,1995,729000
TENNESSEE,1995,5256000
TEXAS,1995,18724000
UTAH,1995,1951000
VERMONT,1995,585000
VIRGINIA,1995,6618000
WASHINGTON,1995,5431000
WEST VIRGINIA,1995,1828000
WISCONSIN,1995,5123000
WYOMING,1995,480000
ALABAMA,1996,4273000
ALASKA,1996,607000
ARIZONA,1996,4428000
ARKANSAS,1996,2510000
CALIFORNIA,1996,31878000
COLORADO,1996,3823000
CONNECTICUT,1996,3274000
DELAWARE,1996,725000
FLORIDA,1996,14400000
GEORGIA,1996,7353000
HAWAII,1996,1184000
IDAHO,1996,1189000
ILLINOIS,1996,11847000
INDIANA,1996,5841000
IOWA,1996,2852000
KANSAS,1996,2572000
KENTUCKY,1996,3884000
LOUISIANA,1996,4351000
MAINE,1996,1243000
MARYLAND,1996,5072000
MASSACHUSETTS,1996,6092000
MICHIGAN,1996,9594000
MINNESOTA,1996,4658000
MISSISSIPPI,1996,2716000
MISSOURI,1996,5359000
MONTANA,1996,879000
NEBRASKA,1996,1652000
NEVADA,1996,1603000
NEW HAMPSHIRE,1996,1162000
NEW JERSEY,1996,7988000
NEW MEXICO,1996,1713000
NEW YORK,1996,18185000
NORTH CAROLINA,1996,7323000
NORTH DAKOTA,1996,644000
OHIO,1996,11173000
OKLAHOMA,1996,3301000
OREGON,1996,3204000
PENNSYLVANIA,1996,12056000
RHODE ISLAND,1996,990000
SOUTH CAROLINA,1996,3699000
SOUTH DAKOTA,1996,732000
TENNESSEE,1996,5320000
TEXAS,1996,19128000
UTAH,1996,2e+06
VERMONT,1996,589000
VIRGINIA,1996,6675000
WASHINGTON,1996,5533000
WEST VIRGINIA,1996,1826000
WISCONSIN,1996,5160000
WYOMING,1996,481000
ALABAMA,1997,4319000
ALASKA,1997,609000
ARIZONA,1997,4555000
ARKANSAS,1997,2523000
CALIFORNIA,1997,32268000
COLORADO,1997,3893000
CONNECTICUT,1997,3270000
DELAWARE,1997,732000
FLORIDA,1997,14654000
GEORGIA,1997,7486000
HAWAII,1997,1187000
IDAHO,1997,1210000
ILLINOIS,1997,11896000
INDIANA,1997,5864000
IOWA,1997,2852000
KANSAS,1997,2595000
