state_name,year,hs_educ,hs_pct,college_educ,college_pct
HAWAII,2014,331585.684,23.8154555764401,211011.291,15.1554493134805
IDAHO,2014,349888.52,21.9265764591459,184282.754,11.5485066377227
ILLINOIS,2014,2659785.662,20.6581202624725,1898577.606,14.7459417774638
INDIANA,2014,1699413.133,25.9955072358243,742161.662,11.3526655055409
IOWA,2014,742832.157,24.1635397793107,414911.022,13.4966141280977
KANSAS,2014,580206.601,20.1048406305821,412850.102,14.3057412492788
KENTUCKY,2014,1148576.052,26.2207131516078,421935.262,9.6323125092029
LOUISIANA,2014,1186257.824,25.7776055201631,499367.264,10.8513445227866
MAINE,2014,343250.621,25.8240059374417,198410.348,14.927139796207
MARYLAND,2014,1215118.317,20.6492532580584,912429.504,15.5054760056099
MASSACHUSETTS,2014,1352236.071,20.3461747292866,1200273.416,18.0596962088092
MICHIGAN,2014,2271750.701,22.9856111787894,1199841.077,12.1400118684334
MINNESOTA,2014,1080256.935,20.082339106686,897866.037,16.6916310770181
MISSISSIPPI,2014,675660.456,22.6357523101075,271308.812,9.08929775813538
MISSOURI,2014,1453646.278,24.1389766635204,751804.597,12.4843257243289
MONTANA,2014,248914.443,24.7641318979128,142598.919,14.1869567553209
NEBRASKA,2014,385450.897,20.7731449050808,267982.427,14.4424045485779
NEVADA,2014,634349.776,22.9925930006948,305655.276,11.078757533262
NEW HAMPSHIRE,2014,304050.506,23.0216068835285,217479.728,16.4667800393422
NEW JERSEY,2014,1951529.702,22.014889600083,1530470.829,17.2649928423086
NEW MEXICO,2014,425767.264,20.4152244648623,218030.722,10.4544113797015
NEW YORK,2014,4112723.028,21.0151669821879,2952946.594,15.0889484509174
NORTH CAROLINA,2014,2078436.073,21.3127616353979,1333308.887,13.6720560541333
NORTH DAKOTA,2014,155292.848,22.1964884195601,106822.974,15.2685389950088
OHIO,2014,3022625.478,26.1830090629731,1408939.345,12.2047114033207
OKLAHOMA,2014,933799.254,24.4781996005054,432888.583,11.3475493732339
OREGON,2014,773234.981,19.8298276919274,555122.836,14.2362806342488
PENNSYLVANIA,2014,3621324.478,28.3724234256087,1698909.461,13.3106488750453
RHODE ISLAND,2014,242415.101,23.0807338340195,145509.038,13.8541508456696
SOUTH CAROLINA,2014,1138813.008,24.1083782431781,585556.139,12.396072737542
SOUTH DAKOTA,2014,196538.292,23.5840101565481,117259.974,14.0708479229715
TENNESSEE,2014,1700416.487,26.337554007803,772472.722,11.9647405154979
TEXAS,2014,5176169.72,19.86311599783,3324747.868,12.7584403406351
UTAH,2014,489213.568,17.1336040124863,376537.526,13.1873792722063
VERMONT,2014,155889.486,24.9020362262005,100042.382,15.9809303670383
VIRGINIA,2014,1634803.127,19.971044325543,1276358.952,15.5922268465882
WASHINGTON,2014,1303970.54,18.9063110228023,1076227.298,15.6042543930618
WEST VIRGINIA,2014,593083.778,31.9650545727555,164752.844,8.87957796997218
WISCONSIN,2014,1422681.678,24.8442682118847,795542.118,13.8925397431335
WYOMING,2014,125526.498,21.7772180315469,73414.38,12.7364419894104
ALABAMA,2015,11676.75,0.240641281425257,5396.57,0.11121566532649
