state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,duration,duration_sq,duration_cub,nbrs_lag,nbrs,lawrence,obergefell,std_init_use,evangelical_pop
,New Mexico,1992,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1992,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1992,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1992,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1992,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1992,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1992,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1992,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1993,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1993,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1993,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1993,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1993,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1993,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
